PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20010710,MSFT,MICROSOFT CORP,64.48,2
10107,20010711,MSFT,MICROSOFT CORP,66.5,2
10107,20010712,MSFT,MICROSOFT CORP,71.6,2
10107,20010713,MSFT,MICROSOFT CORP,71.34,2
10107,20010716,MSFT,MICROSOFT CORP,71.18,2
10107,20010717,MSFT,MICROSOFT CORP,71.82,2
10107,20010718,MSFT,MICROSOFT CORP,70.57,2
10107,20010719,MSFT,MICROSOFT CORP,72.57,2
10107,20010720,MSFT,MICROSOFT CORP,69.18,2
10107,20010723,MSFT,MICROSOFT CORP,67.09,2
10107,20010724,MSFT,MICROSOFT CORP,66.32,2
10107,20010725,MSFT,MICROSOFT CORP,67.48,2
10107,20010726,MSFT,MICROSOFT CORP,66.59,2
10107,20010727,MSFT,MICROSOFT CORP,65.47,2
10107,20010730,MSFT,MICROSOFT CORP,65.8,2
10107,20010731,MSFT,MICROSOFT CORP,66.19,2
10107,20010801,MSFT,MICROSOFT CORP,66.47,2
10107,20010802,MSFT,MICROSOFT CORP,67.45,2
10107,20010803,MSFT,MICROSOFT CORP,66.89,2
10107,20010806,MSFT,MICROSOFT CORP,66.13,2
10107,20010807,MSFT,MICROSOFT CORP,66.35,2
10107,20010808,MSFT,MICROSOFT CORP,64.86,2
10107,20010809,MSFT,MICROSOFT CORP,65.01,2
10107,20010810,MSFT,MICROSOFT CORP,65.52,2
10107,20010813,MSFT,MICROSOFT CORP,65.83,2
10107,20010814,MSFT,MICROSOFT CORP,64.69,2
10107,20010815,MSFT,MICROSOFT CORP,63.2,2
10107,20010816,MSFT,MICROSOFT CORP,64.62,2
10107,20010817,MSFT,MICROSOFT CORP,61.88,2
10107,20010820,MSFT,MICROSOFT CORP,62.7,2
10107,20010821,MSFT,MICROSOFT CORP,60.78,2
10107,20010822,MSFT,MICROSOFT CORP,60.66,2
10107,20010823,MSFT,MICROSOFT CORP,59.12,2
10107,20010824,MSFT,MICROSOFT CORP,62.05,2
10107,20010827,MSFT,MICROSOFT CORP,62.31,2
10107,20010828,MSFT,MICROSOFT CORP,60.74,2
10107,20010829,MSFT,MICROSOFT CORP,60.25,2
10107,20010830,MSFT,MICROSOFT CORP,56.94,2
10107,20010831,MSFT,MICROSOFT CORP,57.05,2
10107,20010904,MSFT,MICROSOFT CORP,56.1,2
10107,20010905,MSFT,MICROSOFT CORP,57.74,2
10107,20010906,MSFT,MICROSOFT CORP,56.02,2
10107,20010907,MSFT,MICROSOFT CORP,55.4,2
10107,20010910,MSFT,MICROSOFT CORP,57.58,2
10107,20010917,MSFT,MICROSOFT CORP,52.91,2
10107,20010918,MSFT,MICROSOFT CORP,54.32,2
10107,20010919,MSFT,MICROSOFT CORP,53.87,2
10107,20010920,MSFT,MICROSOFT CORP,50.76,2
10107,20010921,MSFT,MICROSOFT CORP,49.71,2
10107,20010924,MSFT,MICROSOFT CORP,52.01,2
10107,20010925,MSFT,MICROSOFT CORP,51.3,2
10107,20010926,MSFT,MICROSOFT CORP,50.27,2
10107,20010927,MSFT,MICROSOFT CORP,49.96,2
10107,20010928,MSFT,MICROSOFT CORP,51.17,2
10107,20011001,MSFT,MICROSOFT CORP,51.79,2
10107,20011002,MSFT,MICROSOFT CORP,53.05,2
10107,20011003,MSFT,MICROSOFT CORP,56.23,2
10107,20011004,MSFT,MICROSOFT CORP,56.44,2
10107,20011005,MSFT,MICROSOFT CORP,57.72,2
10107,20011008,MSFT,MICROSOFT CORP,58.04,2
10107,20011009,MSFT,MICROSOFT CORP,54.56,2
10107,20011010,MSFT,MICROSOFT CORP,55.51,2
10107,20011011,MSFT,MICROSOFT CORP,56.32,2
10107,20011012,MSFT,MICROSOFT CORP,56.38,2
10107,20011015,MSFT,MICROSOFT CORP,58.06,2
10107,20011016,MSFT,MICROSOFT CORP,58.45,2
10107,20011017,MSFT,MICROSOFT CORP,56.03,2
10107,20011018,MSFT,MICROSOFT CORP,56.75,2
10107,20011019,MSFT,MICROSOFT CORP,57.9,2
10107,20011022,MSFT,MICROSOFT CORP,60.16,2
10107,20011023,MSFT,MICROSOFT CORP,60.43,2
10107,20011024,MSFT,MICROSOFT CORP,61.32,2
10107,20011025,MSFT,MICROSOFT CORP,62.56,2
10107,20011026,MSFT,MICROSOFT CORP,62.2,2
10107,20011029,MSFT,MICROSOFT CORP,59.64,2
10107,20011030,MSFT,MICROSOFT CORP,58.88,2
10107,20011031,MSFT,MICROSOFT CORP,58.15,2
10107,20011101,MSFT,MICROSOFT CORP,61.84,2
10107,20011102,MSFT,MICROSOFT CORP,61.4,2
10107,20011105,MSFT,MICROSOFT CORP,63.27,2
10107,20011106,MSFT,MICROSOFT CORP,64.78,2
10107,20011107,MSFT,MICROSOFT CORP,64.25,2
10107,20011108,MSFT,MICROSOFT CORP,64.42,2
10107,20011109,MSFT,MICROSOFT CORP,65.21,2
10107,20011112,MSFT,MICROSOFT CORP,65.79,2
10107,20011113,MSFT,MICROSOFT CORP,67.9,2
10107,20011114,MSFT,MICROSOFT CORP,65.95,2
10107,20011115,MSFT,MICROSOFT CORP,66.12,2
10107,20011116,MSFT,MICROSOFT CORP,65.75,2
10107,20011119,MSFT,MICROSOFT CORP,66.54,2
